date,cloud_cover
7/11/2021,AG
13/10/2021,CF
23/09/2021,AG
13/09/2021,AG
29/08/2021,CF
19/08/2021,CF
9/08/2021,CF
10/07/2021,CF
30/06/2021,CF
20/06/2021,CF
31/05/2021,CF
21/05/2021,CF
16/05/2021,CF
11/05/2021,CF
6/05/2021,CF
1/05/2021,AG
26/04/2021,CF
16/04/2021,CF
6/04/2021,CF
27/03/2021,Fox
12/03/2021,AG
7/03/2021,AG
25/02/2021,CF
20/02/2021,CF
15/02/2021,CF
5/02/2021,AG
31/01/2021,CF
27/12/2020,CF
12/12/2020,AG
7/11/2020,AG
18/09/2020,AG
8/09/2020,AG
14/08/2020,CF
9/08/2020,CF
4/08/2020,CF
25/07/2020,CF
10/07/2020,CF
30/06/2020,CF
20/06/2020,CF
15/06/2020,CF
31/05/2020,CF
26/05/2020,CF
16/05/2020,CF
1/04/2020,CF
27/03/2020,AG
11/02/2020,AG
17/01/2020,CF
23/12/2019,AG
23/11/2019,Fox
14/10/2019,AG
19/09/2019,CF
14/09/2019,AG
9/09/2019,CF
30/08/2019,AG
31/07/2019,CF
6/07/2019,CF
26/06/2019,CF
16/06/2019,CF
6/06/2019,CF
1/06/2019,CF
22/05/2019,CF
12/05/2019,CF
2/05/2019,CF
22/04/2019,CF
17/04/2019,CF
7/04/2019,CF
2/04/2019,AG
28/03/2019,CF
23/03/2019,AG
18/03/2019,CF
8/03/2019,CF
1/02/2019,CF
17/01/2019,AG
7/01/2019,AG
23/12/2018,CF
13/11/2018,AG
14/10/2018,AG
24/09/2018,AG
19/09/2018,CF
14/09/2018,CF
4/09/2018,CF
30/08/2018,CF
25/08/2018,AG
20/08/2018,AG
10/08/2018,CF
5/08/2018,CF
21/07/2018,AG
11/07/2018,AG
1/07/2018,Fox
26/06/2018,CF
1/06/2018,CF
27/05/2018,CF
22/05/2018,CF
22/04/2018,AG
17/04/2018,AG
28/03/2018,AG
8/03/2018,AG
21/02/2018,CF
6/02/2018,CF
27/01/2018,CF
22/01/2018,AG
28/12/2017,AG
13/12/2017,AG
3/12/2017,AG
28/11/2017,AG
18/11/2017,CF
19/10/2017,AG
29/09/2017,AG
31/07/2017,CF
11/07/2017,CF
6/07/2017,CF
16/06/2017,CF
6/06/2017,CF
27/05/2017,CF
17/05/2017,CF
17/04/2017,AG
7/04/2017,AG
28/03/2017,CF
8/03/2017,CF
26/02/2017,CF
16/02/2017,CF
27/01/2017,AG
29/10/2016,AG
19/09/2016,AG
30/08/2016,AG
10/08/2016,CF
21/07/2016,CF
1/07/2016,CF
1/06/2016,CF
2/05/2016,CF
12/04/2016,CF
13/03/2016,Fox
3/03/2016,AG
12/02/2016,AG
2/02/2016,CF
3/01/2016,CF
